UF,UAS,UD,UAL,DF,DAS,DD,DAL,rq_rel,rk_rel,CV_v,E_BRK,TTC_cls4,DRAC_cls4,PSD_cls4
0.1,41.68999862670898,0.0023986568312317,5.050000190734863,0.6,36.16833114624024,0.0165890982797627,4.799999713897705,1.4285714285714275,1.4946939609846563,0.0540914516958623,4.46060594325977e-05,3,2,2
0.3,33.478179931640625,0.0089610606255347,4.920000076293945,0.4,31.73681640625,0.0126036586303979,4.522500038146973,0.2857142857142855,0.3378293926883167,0.0311987356218554,0.0917959694790883,1,0,1
0.5,36.63418197631836,0.01364845543223,5.103999614715576,0.1,42.77818298339844,0.0023376401947414,4.449999809265137,1.333333333333332,1.4150816436258165,0.054092287254346,0.0180733322877638,0,0,0
0.2,22.62636375427246,0.0088392462073021,11.725000381469728,0.1,34.862728118896484,0.0028683928480569,3.839999914169312,0.6666666666666654,1.019992729705999,0.1396458734788607,0.000334657849345,0,0,0
0.4,13.34568214416504,0.0299722408850308,4.394999504089356,0.6,16.396209716796875,0.036593823228871,4.446666717529297,0.3999999999999998,0.1989476899974059,0.0846173630079799,1.079213667799356,3,2,2
0.4,24.78681945800781,0.0161376089690586,8.717499732971191,0.4,22.94090843200684,0.0174361011546477,14.627500534057615,0.0,0.0773517243584092,0.0256870422560211,0.0102479271800838,0,0,0
0.3,28.59363555908203,0.0104918452702563,4.616666316986084,0.2,36.275001525878906,0.0055134387756624,4.345000267028809,0.3999999999999995,0.6220953630451536,0.0930605593707736,0.0127577777801349,1,0,1
0.5,34.58127212524414,0.0144586930807264,4.550000190734863,0.4,32.263633728027344,0.0123978595644826,4.447500228881836,0.2222222222222221,0.153469698324167,0.0684204530087796,0.4661037285930903,0,0,0
0.2,25.870454788208008,0.00773082659881,17.279998779296875,0.1,24.566362380981445,0.0040706067283861,14.050000190734863,0.6666666666666654,0.6203009022621631,0.0604069945735558,1.88650134456686e-05,0,0,0
0.5,30.561817169189453,0.0163602837237064,4.529999732971191,0.4,36.12727355957031,0.0110719675355636,4.675000190734863,0.2222222222222221,0.3855546625146486,0.0644685740481684,0.0,2,2,1
0.4,33.79954528808594,0.0118344787360492,4.900000095367432,0.3,27.838180541992188,0.010776566361708,8.756667137145996,0.2857142857142855,0.0935748321023919,0.064639701303817,0.0179746050639651,0,0,1
0.4,32.83340835571289,0.0121827132799141,5.342499732971191,0.4,33.93113708496094,0.0117885822393284,4.72499942779541,0.0,0.0328835828058877,0.0574865685417598,0.0054335165076891,0,0,0
0.2,24.59136390686035,0.0081329364551511,17.685001373291016,0.3,23.42909240722656,0.012804593314398,9.0600004196167,0.3999999999999995,0.4462471849034248,0.0528174975945429,0.0131535496916581,0,0,1
0.3,23.752424240112305,0.0126302897324205,12.769999504089355,0.1,31.210908889770508,0.0032040079432858,5.150000095367432,0.9999999999999986,1.190615710552874,0.1307630724692657,0.1087144976325431,0,0,0
0.3,24.426362991333008,0.0122818120776488,12.936665534973145,0.4,24.370681762695312,0.0164131641410324,14.68000030517578,0.2857142857142855,0.2879495025121295,0.0328506129521199,0.0120622148678573,0,0,0
0.7,28.918569564819336,0.0242058998952546,5.022857189178467,0.3,34.0615119934082,0.0088075949199803,4.583333492279053,0.7999999999999996,0.932849131026712,0.0891848350357869,0.0852340719522894,3,3,0
0.1,39.46636581420898,0.00253380309884,4.949999809265137,0.2,35.848636627197266,0.0055790127273141,5.864999771118164,0.6666666666666654,0.7507158288140068,0.0532463417153686,0.4417550559818404,0,0,0
0.2,21.901817321777344,0.0091316623210589,11.170000076293944,0.3,22.74242401123047,0.013191205996856,17.146665573120117,0.3999999999999995,0.3637116537160038,0.0221378610225695,0.0142570630151517,0,0,0
0.1,36.379093170166016,0.0027488315756591,5.260000228881836,0.4,34.605682373046875,0.0115587953356334,5.077500343322754,1.1999999999999986,1.2315059393979149,0.0545513423170871,0.0151120331801661,0,0,2
0.3,26.72181701660156,0.0112267814652576,11.723332405090332,0.2,24.71272659301757,0.0080929961025223,5.510000228881836,0.3999999999999995,0.3244121576183403,0.0710356296791261,0.0005846016401577,0,0,0
